did,name,NumberOfClasses,NumberOfInstances,NumberOfFeatures,NumberOfMissingValues,classes_bin,samples_bin,features_bin_metadata,cell_metadata
45689,simulated_adult,2.0,5100000.0,15.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
45672,prostate,2.0,5100000.0,103.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
45660,simulated_electricity,2.0,5100000.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
45703,simulated_bank_marketing,2.0,5100000.0,17.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
45704,simulated_covertype,2.0,5100000.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
45693,simulated_electricity,2.0,5100000.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
45668,bates_classif_100,2.0,5100000.0,101.0,0.0,2,10000+,100+,classes=2 | samples=10000+ | features=100+
1110,KDDCup99_full,23.0,4898431.0,42.0,0.0,15+,10000+,40-60,classes=15+ | samples=10000+ | features=40-60
42746,KDDCup99,23.0,4898431.0,42.0,0.0,15+,10000+,40-60,classes=15+ | samples=10000+ | features=40-60
42553,BitcoinHeist_Ransomware,29.0,2916697.0,10.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
42732,sf-police-incidents,2.0,2215023.0,9.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
1218,Click_prediction_small,2.0,1997410.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
46801,ACSIncome,2.0,1664500.0,12.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
1216,Click_prediction_small,2.0,1496391.0,10.0,0.0,2,10000+,5-10,classes=2 | samples=10000+ | features=5-10
46649,DDXPlus,49.0,1292579.0,6.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
46804,DDXPlus,49.0,1292579.0,6.0,0.0,15+,10000+,5-10,classes=15+ | samples=10000+ | features=5-10
45579,Microsoft,5.0,1200192.0,137.0,0.0,5,10000+,100+,classes=5 | samples=10000+ | features=100+
46802,ACSPublicCoverage,2.0,1138289.0,19.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
354,poker,2.0,1025010.0,11.0,0.0,2,10000+,10-20,classes=2 | samples=10000+ | features=10-20
271,BNG(waveform-5000),3.0,1000000.0,41.0,0.0,3,10000+,40-60,classes=3 | samples=10000+ | features=40-60
157,RandomRBF_10_1E-3,5.0,1000000.0,11.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
156,RandomRBF_0_0,5.0,1000000.0,11.0,0.0,5,10000+,10-20,classes=5 | samples=10000+ | features=10-20
272,BNG(zoo),7.0,1000000.0,17.0,0.0,7-8,10000+,10-20,classes=7-8 | samples=10000+ | features=10-20
