context,basis,dataset,status,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,mcc,best_hyperparameters,n_combinations_evaluated
classifier,attention,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9918981481481481,0.9507985365695811,"{""k"": 20}",4
classifier,cauchy,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9918981481481481,0.9507985365695811,"{""k"": 20, ""epsilon"": 1.0}",16
classifier,cosine,breast_cancer,ok,0.9651162790697675,0.9594907407407407,0.9636363636363636,0.9814814814814815,0.9724770642201835,0.9884259259259259,0.9251591263913552,"{""k"": 5, ""h"": 5.0}",20
classifier,cubic_spline,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9872685185185185,0.9507985365695811,"{""k"": 15, ""h"": 5.0}",20
classifier,entropic,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9878472222222222,0.9507985365695811,"{""k"": 10, ""beta"": 1.0}",16
classifier,gen_exponential,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9878472222222222,0.9507985365695811,"{""k"": 10, ""epsilon"": 1.0, ""p"": 2.0}",48
classifier,harmonic,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9918981481481481,0.9507985365695811,"{""k"": 20, ""nu"": 1.0}",20
classifier,inverse_multiquadratic,breast_cancer,ok,0.9651162790697675,0.9594907407407407,0.9636363636363636,0.9814814814814815,0.9724770642201835,0.9890046296296297,0.9251591263913552,"{""k"": 5, ""c"": 0.01}",20
classifier,laplacian,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9918981481481481,0.9507985365695811,"{""k"": 20, ""epsilon"": 1.0}",16
classifier,logarithmic,breast_cancer,ok,0.9651162790697675,0.9594907407407407,0.9636363636363636,0.9814814814814815,0.9724770642201835,0.9890046296296297,0.9251591263913552,"{""k"": 5, ""c"": 0.01}",16
classifier,lorentzian,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9907407407407407,0.9507985365695811,"{""k"": 10}",4
classifier,multiquadratic,breast_cancer,ok,0.9651162790697675,0.9594907407407407,0.9636363636363636,0.9814814814814815,0.9724770642201835,0.9884259259259259,0.9251591263913552,"{""k"": 5, ""c"": 0.1}",20
classifier,quartic_spline,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9872685185185185,0.9507985365695811,"{""k"": 15, ""h"": 5.0}",20
classifier,radial,breast_cancer,ok,0.9651162790697675,0.9594907407407407,0.9636363636363636,0.9814814814814815,0.9724770642201835,0.9884259259259259,0.9251591263913552,"{""k"": 5, ""z"": 4.0}",20
classifier,rational_quadratic,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9907407407407407,0.9507985365695811,"{""k"": 20, ""alpha"": 2.0, ""l"": 0.01}",48
classifier,rbf_gaussian,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9878472222222222,0.9507985365695811,"{""k"": 10, ""epsilon"": 1.0}",20
classifier,shepard,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9907407407407407,0.9507985365695811,"{""k"": 20, ""z"": 4.0}",16
classifier,sigmoidal,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9861111111111112,0.9507985365695811,"{""k"": 10, ""alpha"": 5.0, ""c"": 2.0}",48
classifier,softmax_radial,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9918981481481481,0.9507985365695811,"{""k"": 20, ""beta"": 1.0}",16
classifier,student_t,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9918981481481481,0.9507985365695811,"{""k"": 20, ""nu"": 1.0}",20
classifier,wendland_c2,breast_cancer,ok,0.9767441860465116,0.96875,0.9642857142857143,1.0,0.9818181818181818,0.9872685185185185,0.9507985365695811,"{""k"": 15, ""h"": 5.0}",20
