context,basis,dataset,status,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,mcc,best_hyperparameters,n_combinations_evaluated
classifier,attention,fetal_health,ok,0.8307210031347962,0.48704789833822093,0.36369047619047623,0.3652859237536657,0.36231060606060606,,0.46921987710291513,"{""k"": 30}",13
classifier,cauchy,fetal_health,ok,0.8401253918495298,0.5035434995112414,0.37493945558461683,0.3776576246334311,0.37442312647878745,,0.504017225812164,"{""k"": 27, ""epsilon"": 5.068077717443547}",20
classifier,cosine,fetal_health,ok,0.8338557993730408,0.5195503421309873,0.388421642837118,0.38966275659824046,0.38869756153935053,,0.5310080819652342,"{""k"": 4, ""h"": 3.573720289591046}",20
classifier,cubic_spline,fetal_health,ok,0.8369905956112853,0.533357771260997,0.3906800563777308,0.4000183284457478,0.3952569169960474,,0.5468623812738642,"{""k"": 4, ""h"": 3.573720289591046}",20
classifier,entropic,fetal_health,ok,0.8401253918495298,0.5347018572825024,0.3719844973503124,0.4010263929618768,0.385954471060854,,0.5228053304016084,"{""k"": 26, ""beta"": 1.0017808951943048}",20
classifier,gen_exponential,fetal_health,ok,0.8369905956112853,0.5084310850439883,0.3701086956521739,0.3813233137829912,0.37472737186477645,,0.49847185298093627,"{""k"": 30, ""epsilon"": 0.2217046753718674, ""p"": 1.9007718757911343}",20
classifier,harmonic,fetal_health,ok,0.8338557993730408,0.48839198435972636,0.36797153024911033,0.36629398826979476,0.3644803905147041,,0.4785594187039431,"{""k"": 27, ""nu"": 0.0336246363764408}",20
classifier,inverse_multiquadratic,fetal_health,ok,0.8307210031347962,0.48704789833822093,0.36369047619047623,0.3652859237536657,0.36231060606060606,,0.46921987710291513,"{""k"": 27, ""c"": 0.284104903560722}",20
classifier,laplacian,fetal_health,ok,0.8338557993730408,0.5320136852394918,0.3657035848047084,0.3990102639296188,0.3816055955736507,,0.5074612485365817,"{""k"": 27, ""epsilon"": 5.068077717443547}",20
classifier,logarithmic,fetal_health,ok,0.8307210031347962,0.48704789833822093,0.36369047619047623,0.3652859237536657,0.36231060606060606,,0.46921987710291513,"{""k"": 27, ""c"": 0.18337021671045928}",20
classifier,lorentzian,fetal_health,ok,0.8463949843260188,0.5249266862170088,0.3803547671840355,0.3936950146627566,0.3862107749409516,,0.531955172017961,"{""k"": 30}",13
classifier,multiquadratic,fetal_health,ok,0.8213166144200627,0.4767839687194526,0.35198101327133585,0.35758797653958946,0.35305830815002226,,0.43826688705776906,"{""k"": 27, ""c"": 3.195155555698118}",20
classifier,quartic_spline,fetal_health,ok,0.8369905956112853,0.533357771260997,0.3906800563777308,0.4000183284457478,0.3952569169960474,,0.5468623812738642,"{""k"": 4, ""h"": 3.573720289591046}",20
classifier,radial,fetal_health,ok,0.8338557993730408,0.5320136852394918,0.3657035848047084,0.3990102639296188,0.3816055955736507,,0.5074612485365817,"{""k"": 27, ""z"": 0.5068077717443549}",20
classifier,rational_quadratic,fetal_health,ok,0.8369905956112853,0.4897360703812317,0.3724968710888611,0.36730205278592376,0.36669085631349785,,0.4882224489149442,"{""k"": 30, ""alpha"": 0.6921704490133188, ""l"": 0.1087305419535857}",20
classifier,rbf_gaussian,fetal_health,ok,0.8401253918495298,0.5347018572825024,0.3719844973503124,0.4010263929618768,0.385954471060854,,0.5228053304016084,"{""k"": 26, ""epsilon"": 1.0017808951943048}",20
classifier,shepard,fetal_health,ok,0.8432601880877743,0.5235826001955034,0.376477233229058,0.3926869501466276,0.3839214113873296,,0.523198444221588,"{""k"": 27, ""z"": 3.342489796049292}",20
classifier,sigmoidal,fetal_health,ok,0.8307210031347962,0.4932795698924732,0.36326202196137825,0.36995967741935487,0.3651349346193082,,0.4731185002831674,"{""k"": 30, ""alpha"": 0.802076384452658, ""c"": 1.1755789068433506}",20
classifier,softmax_radial,fetal_health,ok,0.8338557993730408,0.5320136852394918,0.3657035848047084,0.3990102639296188,0.3816055955736507,,0.5074612485365817,"{""k"": 27, ""beta"": 5.068077717443547}",20
classifier,student_t,fetal_health,ok,0.8338557993730408,0.48839198435972636,0.36797153024911033,0.36629398826979476,0.3644803905147041,,0.4785594187039431,"{""k"": 27, ""nu"": 0.0336246363764408}",20
classifier,wendland_c2,fetal_health,ok,0.8369905956112853,0.527126099706745,0.39148351648351654,0.3953445747800587,0.39319721662699136,,0.5424276240723791,"{""k"": 4, ""h"": 3.573720289591046}",20
