context,basis,dataset,status,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,mcc,best_hyperparameters,n_combinations_evaluated
classifier,attention,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.43137254901960786,0.0,"{""k"": 24}",13
classifier,cauchy,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.5392156862745099,0.0,"{""k"": 24, ""epsilon"": 20.764908972522903}",20
classifier,cosine,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.4730392156862745,0.0,"{""k"": 21, ""h"": 1.375874185333854}",20
classifier,cubic_spline,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.49754901960784315,0.0,"{""k"": 21, ""h"": 1.375874185333854}",20
classifier,entropic,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.6176470588235294,0.0,"{""k"": 24, ""beta"": 20.764908972522903}",20
classifier,gen_exponential,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.5980392156862745,0.0,"{""k"": 24, ""epsilon"": 7.623868423300401, ""p"": 1.188354695775299}",20
classifier,harmonic,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.43137254901960786,0.0,"{""k"": 24}",13
classifier,inverse_multiquadratic,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.42892156862745096,0.0,"{""k"": 24, ""c"": 0.9454957214747121}",20
classifier,laplacian,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.6446078431372548,0.0,"{""k"": 24, ""epsilon"": 20.764908972522903}",20
classifier,logarithmic,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.43137254901960786,0.0,"{""k"": 24, ""c"": 0.5214297905300547}",20
classifier,lorentzian,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.428921568627451,0.0,"{""k"": 24}",13
classifier,multiquadratic,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.4411764705882353,0.0,"{""k"": 24, ""c"": 4.307129807565774}",20
classifier,quartic_spline,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.5269607843137254,0.0,"{""k"": 21, ""h"": 1.375874185333854}",20
classifier,radial,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.6544117647058824,0.0,"{""k"": 21, ""z"": 0.03352154555780487}",20
classifier,rational_quadratic,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.5612745098039217,0.0,"{""k"": 24, ""alpha"": 1.546052043589046, ""l"": 0.016470428664554334}",20
classifier,rbf_gaussian,haberman,ok,0.6956521739130435,0.47058823529411764,,,,0.4693627450980392,-0.06333004963811237,"{""k"": 22, ""epsilon"": 42.97100021154878}",20
classifier,shepard,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.5833333333333333,0.0,"{""k"": 24, ""z"": 4.363690639601221}",20
classifier,sigmoidal,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.4975490196078432,0.0,"{""k"": 24, ""alpha"": 6.549308121699945, ""c"": 0.6412660218314743}",20
classifier,softmax_radial,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.6446078431372548,0.0,"{""k"": 24, ""beta"": 20.764908972522903}",20
classifier,student_t,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.4338235294117647,0.0,"{""k"": 24, ""nu"": 0.27188902645221674}",20
classifier,wendland_c2,haberman,ok,0.7391304347826086,0.5,0.7391304347826086,1.0,0.85,0.4852941176470588,0.0,"{""k"": 21, ""h"": 1.375874185333854}",20
