context,basis,dataset,status,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,mcc,best_hyperparameters,n_combinations_evaluated
classifier,attention,iris,ok,0.9130434782608695,0.9166666666666666,0.9333333333333332,0.9166666666666666,0.9153439153439153,1.0,0.8793684368796316,"{""k"": 6}",13
classifier,cauchy,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,0.9944444444444445,0.9373257413805222,"{""k"": 22, ""epsilon"": 42.97100021154878}",20
classifier,cosine,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,1.0,0.9373257413805222,"{""k"": 4, ""h"": 3.573720289591046}",20
classifier,cubic_spline,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,1.0,0.9373257413805222,"{""k"": 4, ""h"": 3.573720289591046}",20
classifier,entropic,iris,ok,0.9130434782608695,0.9166666666666666,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.9888888888888889,0.8793684368796316,"{""k"": 24, ""beta"": 1.8183018870845464}",20
classifier,gen_exponential,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,0.9944444444444445,0.9373257413805222,"{""k"": 15, ""epsilon"": 3.139118461178404, ""p"": 1.1276345122083506}",20
classifier,harmonic,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,1.0,0.9373257413805222,"{""k"": 5, ""nu"": 0.005695262671673525}",20
classifier,inverse_multiquadratic,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,1.0,0.9373257413805222,"{""k"": 5, ""c"": 0.1022992510826784}",20
classifier,laplacian,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,0.9944444444444445,0.9373257413805222,"{""k"": 15, ""epsilon"": 3.139118461178404}",20
classifier,logarithmic,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,1.0,0.9373257413805222,"{""k"": 4, ""c"": 0.23232604885522545}",20
classifier,lorentzian,iris,ok,0.9130434782608695,0.9166666666666666,0.9333333333333332,0.9166666666666666,0.9153439153439153,1.0,0.8793684368796316,"{""k"": 6}",13
classifier,multiquadratic,iris,ok,0.9130434782608695,0.9166666666666666,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.9888888888888889,0.8793684368796316,"{""k"": 5, ""c"": 2.2505043547850567}",20
classifier,quartic_spline,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,1.0,0.9373257413805222,"{""k"": 4, ""h"": 3.573720289591046}",20
classifier,radial,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,1.0,0.9373257413805222,"{""k"": 4, ""z"": 0.697474985125747}",20
classifier,rational_quadratic,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,0.9944444444444445,0.9373257413805222,"{""k"": 23, ""alpha"": 1.0556895590523032, ""l"": 0.12035440948948699}",20
classifier,rbf_gaussian,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,0.9944444444444445,0.9373257413805222,"{""k"": 24, ""epsilon"": 1.8183018870845464}",20
classifier,shepard,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,0.9944444444444445,0.9373257413805222,"{""k"": 26, ""z"": 2.1685911090466155}",20
classifier,sigmoidal,iris,ok,0.8695652173913043,0.875,0.8783068783068783,0.875,0.8745098039215686,0.9888888888888889,0.8062710784519386,"{""k"": 25, ""alpha"": 6.199672459722209, ""c"": 0.7096287254139647}",20
classifier,softmax_radial,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,0.9944444444444445,0.9373257413805222,"{""k"": 15, ""beta"": 3.139118461178404}",20
classifier,student_t,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,1.0,0.9373257413805222,"{""k"": 5, ""nu"": 0.005695262671673525}",20
classifier,wendland_c2,iris,ok,0.9565217391304348,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,1.0,0.9373257413805222,"{""k"": 4, ""h"": 3.573720289591046}",20
