context,basis,dataset,status,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,mcc,best_hyperparameters,n_combinations_evaluated
classifier,attention,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20}",4
classifier,cauchy,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""epsilon"": 0.1}",16
classifier,cosine,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""h"": 5.0}",20
classifier,cubic_spline,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""h"": 2.0}",20
classifier,entropic,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""beta"": 0.1}",16
classifier,gen_exponential,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""epsilon"": 1.0, ""p"": 1.0}",48
classifier,harmonic,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""nu"": 0.0001}",20
classifier,inverse_multiquadratic,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""c"": 1.0}",20
classifier,laplacian,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""epsilon"": 1.0}",16
classifier,logarithmic,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""c"": 0.1}",16
classifier,lorentzian,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20}",4
classifier,multiquadratic,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""c"": 0.1}",20
classifier,quartic_spline,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""h"": 2.0}",20
classifier,radial,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""z"": 2.0}",20
classifier,rational_quadratic,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""alpha"": 2.0, ""l"": 0.01}",48
classifier,rbf_gaussian,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""epsilon"": 0.1}",20
classifier,shepard,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""z"": 4.0}",16
classifier,sigmoidal,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""alpha"": 1.0, ""c"": 2.0}",48
classifier,softmax_radial,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""beta"": 1.0}",16
classifier,student_t,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""nu"": 0.0001}",20
classifier,wendland_c2,wine,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"{""k"": 20, ""h"": 2.0}",20
