dataset,status,n_samples,n_features,n_features_numeric,n_features_categorical,one_hot_features,n_classes,balance,balance_ratio,missing_values,missing_percentage,infinite_values,constant_features,duplicate_rows,memory,memory_bytes,class_distribution,categorical_columns,categorical_cardinalities,error
fetal_health,OK,2126.0,21.0,21.0,0.0,21.0,3.0,imbalanced,0.10634441087613293,0.0,0.0,0.0,0.0,13.0,365.54 KB,374308.0,"{""1.0"": 1655, ""2.0"": 295, ""3.0"": 176}",[],{},
iris,OK,150.0,4.0,4.0,0.0,4.0,3.0,balanced,1.0,0.0,0.0,0.0,0.0,3.0,13.95 KB,14282.0,"{""Iris-setosa"": 50, ""Iris-versicolor"": 50, ""Iris-virginica"": 50}",[],{},
classification_data,OK,64.0,3.0,3.0,0.0,3.0,2.0,imbalanced,0.28,0.0,0.0,0.0,0.0,1.0,2.13 KB,2180.0,"{""0"": 14, ""1"": 50}",[],{},
avida_hil6,categorical;one_hot_expansion,573891.0,3.0,0.0,3.0,38661.0,2.0,imbalanced,0.037944623999160806,0.0,0.0,0.0,0.0,0.0,291.91 MB,306091596.0,"{""0"": 552911, ""1"": 20980}","[""VHH_sequence"", ""Ag_label"", ""Ag_sequence""]","{""VHH_sequence"": 38599, ""Ag_label"": 31, ""Ag_sequence"": 31}",
sea_50000,ERROR,,,,,,,,,,,,,,,,{},[],{},Arquivo do dataset 'sea_50000' não encontrado em D:\FEMa-bases-investigation\data\raw\sea_50000.csv.
products,categorical,73503.0,3.0,2.0,1.0,4.0,5.0,moderately_imbalanced,0.7687531185895659,0.0,0.0,0.0,0.0,0.0,8.87 MB,9298946.0,"{""Coke"": 13866, ""Fanta"": 18037, ""Ice Tea"": 13866, ""Milk"": 13867, ""Water"": 13867}","[""Place""]","{""Place"": 2}",
walking_activity,ERROR,,,,,,,,,,,,,,,,{},[],{},Arquivo do dataset 'walking_activity' não encontrado em D:\FEMa-bases-investigation\data\raw\walking-activity.csv.
us_inter_state_migration,ERROR,,,,,,,,,,,,,,,,{},[],{},Arquivo do dataset 'us_inter_state_migration' não encontrado em D:\FEMa-bases-investigation\data\raw\us_inter_state_migration.csv.
agrawal1,categorical,1000000.0,9.0,6.0,3.0,40.0,2.0,imbalanced,0.48799559553303723,0.0,0.0,0.0,0.0,0.0,256.11 MB,268550897.0,"{""groupA"": 672045, ""groupB"": 327955}","[""elevel"", ""car"", ""zipcode""]","{""elevel"": 5, ""car"": 20, ""zipcode"": 9}",
bitcoinheist_ransomware,categorical;one_hot_expansion;small_class,2916697.0,9.0,8.0,1.0,2631103.0,29.0,imbalanced,3.477917311820328e-07,0.0,0.0,0.0,0.0,0.0,559.43 MB,586608622.0,"{""montrealAPT"": 11, ""montrealComradeCircle"": 1, ""montrealCryptConsole"": 7, ""montrealCryptXXX"": 2419, ""montrealCryptoLocker"": 9315, ""montrealCryptoTorLocker2015"": 55, ""montrealDMALocker"": 251, ""montrealDMALockerv3"": 354, ""montrealEDA2"": 6, ""montrealFlyper"": 9, ""montrealGlobe"": 32, ""montrealGlobeImposter"": 55, ""montrealGlobev3"": 34, ""montrealJigSaw"": 4, ""montrealNoobCrypt"": 483, ""montrealRazy"": 13, ""montrealSam"": 1, ""montrealSamSam"": 62, ""montrealVenusLocker"": 7, ""montrealWannaCry"": 28, ""montrealXLocker"": 1, ""montrealXLockerv5.0"": 7, ""montrealXTPLocker"": 8, ""paduaCryptoWall"": 12390, ""paduaJigsaw"": 2, ""paduaKeRanger"": 10, ""princetonCerber"": 9223, ""princetonLocky"": 6625, ""white"": 2875284}","[""address""]","{""address"": 2631095}",
bng_glass,OK,137781.0,9.0,9.0,0.0,9.0,7.0,imbalanced,0.006417353508016566,0.0,0.0,0.0,0.0,0.0,17.98 MB,18850612.0,"{""build wind float"": 44669, ""build wind non-float"": 48774, ""containers"": 8428, ""headlamps"": 18437, ""tableware"": 6034, ""vehic wind float"": 11126, ""vehic wind non-float"": 313}",[],{},
sdss17,ERROR,,,,,,,,,,,,,,,,{},[],{},Arquivo do dataset 'sdss17' não encontrado em D:\FEMa-bases-investigation\data\raw\sdss17.csv.
risk_level_classification,ERROR,,,,,,,,,,,,,,,,{},[],{},Arquivo do dataset 'risk_level_classification' não encontrado em D:\FEMa-bases-investigation\data\raw\risk_level_classification.csv.
airlines,categorical;one_hot_expansion,539383.0,7.0,4.0,3.0,608.0,2.0,balanced,0.8032388447407219,0.0,0.0,0.0,0.0,216618.0,100.31 MB,105179817.0,"{""0"": 299119, ""1"": 240264}","[""Airline"", ""AirportFrom"", ""AirportTo""]","{""Airline"": 18, ""AirportFrom"": 293, ""AirportTo"": 293}",
ddxplus,categorical;one_hot_expansion,1292579.0,5.0,1.0,4.0,1326159.0,49.0,imbalanced,0.003974708623283232,0.0,0.0,0.0,0.0,13913.0,2.42 GB,2600716646.0,"{""Anaphylaxie"": 35271, ""Angine instable"": 26872, ""Angine stable"": 21721, ""Anémie"": 64410, ""Asthme exacerbé ou bronchospasme"": 24306, ""Attaque de panique"": 31643, ""Bronchiectasies"": 23568, ""Bronchiolite"": 325, ""Bronchite"": 33537, ""Chagas"": 11453, ""Coqueluche"": 7164, ""Céphalée en grappe"": 26470, ""Ebola"": 908, ""Embolie pulmonaire"": 34872, ""Exacerbation aigue de MPOC et/ou surinfection associée"": 21890, ""Fibrillation auriculaire/Flutter auriculaire"": 26476, ""Fracture de côte spontanée"": 7272, ""Hernie inguinale"": 25618, ""IVRS ou virémie"": 81767, ""Laryngite aigue"": 30753, ""Laryngo-trachéo-bronchite (Croup)"": 3463, ""Laryngospasme"": 12451, ""Lupus érythémateux disséminé (LED)"": 15010, ""Myasthénie grave"": 22940, ""Myocardite"": 14098, ""Néoplasie du pancréas"": 24013, ""OAP/Surcharge pulmonaire"": 24116, ""Oedème localisé ou généralisé sans atteinte pulmonaire associée"": 35253, ""Otite moyenne aigue (OMA)"": 32907, ""Pharyngite virale"": 78222, ""Pneumonie"": 32787, ""Pneumothorax spontané"": 12910, ""Possible NSTEMI / STEMI"": 27114, ""Possible influenza ou syndrome virémique typique"": 33956, ""Péricardite"": 28912, ""RGO"": 32948, ""Rhinite allergique"": 30750, ""Rhinosinusite aigue"": 17273, ""Rhinosinusite chronique"": 26043, ""Réaction dystonique aïgue"": 32565, ""Sarcoïdose"": 27215, ""Scombroïde"": 23271, ""Syndrome de Boerhaave"": 19238, ""Syndrome de Guillain-Barré"": 28025, ""TSVP"": 23600, ""Tuberculose"": 20332, ""VIH (Primo-infection)"": 36784, ""néoplasie pulmonaire"": 18266, ""Épiglottite"": 21821}","[""DIFFERENTIAL_DIAGNOSIS"", ""SEX"", ""EVIDENCES"", ""INITIAL_EVIDENCE""]","{""DIFFERENTIAL_DIAGNOSIS"": 291553, ""SEX"": 2, ""EVIDENCES"": 1034507, ""INITIAL_EVIDENCE"": 96}",
digits,constant_features,1797.0,64.0,64.0,0.0,64.0,10.0,balanced,0.9508196721311475,0.0,0.0,0.0,3.0,,912.54 KB,934440.0,"{""0"": 178, ""1"": 182, ""2"": 177, ""3"": 183, ""4"": 181, ""5"": 182, ""6"": 181, ""7"": 179, ""8"": 174, ""9"": 180}",[],{},
digits_5class,constant_features,901.0,64.0,64.0,0.0,64.0,5.0,balanced,0.9672131147540983,0.0,0.0,0.0,3.0,,457.54 KB,468520.0,"{""0"": 178, ""1"": 182, ""2"": 177, ""3"": 183, ""4"": 181}",[],{},
breast_cancer,OK,569.0,30.0,30.0,0.0,30.0,2.0,moderately_imbalanced,0.5938375350140056,0.0,0.0,0.0,0.0,,137.80 KB,141112.0,"{""0"": 212, ""1"": 357}",[],{},
wine,OK,178.0,13.0,13.0,0.0,13.0,3.0,moderately_imbalanced,0.676056338028169,0.0,0.0,0.0,0.0,,19.47 KB,19936.0,"{""0"": 59, ""1"": 71, ""2"": 48}",[],{},
synthetic_demo,OK,600.0,12.0,12.0,0.0,12.0,3.0,balanced,0.9900497512437811,0.0,0.0,0.0,0.0,,60.94 KB,62400.0,"{""0"": 199, ""1"": 200, ""2"": 201}",[],{},
