did,name,file,target,n_samples,n_features,n_classes,imbalance_ratio,balance,categorical_features,status,error
43,haberman,data/raw\haberman.csv,Survival_status,306.0,3.0,2.0,2.7777777777777777,N,1.0,OK,
1464,blood-transfusion-service-center,data/raw\bloodtransfusionservicecenter.csv,Class,748.0,4.0,2.0,3.202247191011236,N,0.0,OK,
333,monks-problems-1,data/raw\monksproblems1.csv,class,556.0,6.0,2.0,1.0,S,6.0,OK,
334,monks-problems-2,data/raw\monksproblems2.csv,class,601.0,6.0,2.0,1.9174757281553398,N,6.0,OK,
1467,climate-model-simulation-crashes,data/raw\climatemodelsimulationcrashes.csv,Class,540.0,20.0,2.0,10.73913043478261,N,0.0,OK,
50,tic-tac-toe,data/raw\tictactoe.csv,Class,958.0,9.0,2.0,1.8855421686746987,N,9.0,OK,
15,BreastW,,,,,,,,,ERROR,"Dataset possui missing values: X=16, y=0"
62,zoo,data/raw\zoo.csv,type,101.0,16.0,7.0,10.25,N,0.0,OK,
22,mfeat-zernike,data/raw\mfeatzernike.csv,class,2000.0,47.0,10.0,1.0,S,0.0,OK,
16,mfeat-karhunen,data/raw\mfeatkarhunen.csv,class,2000.0,64.0,10.0,1.0,S,0.0,OK,
14,mfeat-fourier,data/raw\mfeatfourier.csv,class,2000.0,76.0,10.0,1.0,S,0.0,OK,
12,mfeat-factors,data/raw\mfeatfactors.csv,class,2000.0,216.0,10.0,1.0,S,0.0,OK,
20,mfeat-pixel,data/raw\mfeatpixel.csv,class,2000.0,240.0,10.0,1.0,S,240.0,OK,
1038,gina_agnostic,data/raw\ginaagnostic.csv,label,3468.0,970.0,2.0,1.0340175953079178,S,0.0,OK,
1116,musk,data/raw\muskversion2.csv,class,6598.0,167.0,2.0,5.487708947885939,N,1.0,OK,
